name,address,type,leisure_ype,photo_reference,rating,place_id
Handloom Town colombo,"65/3a Huludagoda Rd, Dehiwala-Mount Lavinia, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShjStBTUxlMwHXdN8VYlTuA8unXKh9z238FxqHVrZr_UuF6SbshvU8Y-4vXPabfZqzI6emTdvE85jRVk3bqpIXRLJ-eWdH3qo8LHJS_q1YRAe8fOYmRdn-yqf1G5pNDYMRlDV6MXXxlWh_5GSRW575vRC6Vor5SMD-pABEkiO2olmIML,7,ChIJrQpFhHFb4joRJ6Zk8Wn9sks
Lakpahana,"14 Philip Gunewardena Mawatha, Colombo 00700, Sri Lanka","store, point_of_interest, establishment",shop,AUacShhksUl5oQLB4LZq-tDqUR9pC0osQY--NWpcONrpyy3IwhBOc-GBE_xN95ZMrrGaXLx8k62Io0mG7-ozvR6P3MvCbGMhbp-y_uS4_cKdpCKjoeEkBoAdYDeEMz--J1kdN6rXMvBInN4RfTraBn_QnxpxkKEC40x0O75pCM0jdkO3wofb,370,ChIJz10-gGJZ4joRoRhhGR8EYxw
S &S Handloom Sarees,"Sri Siddhartha Passage, Colombo 00500, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShj67SiXwPR8OZDT3WGAKQk_Gp7ixckhp-OZXV7zOZWP7ixz6gvpgilQR0iXx3_kwc0teBZSctbnuG_UFTUk0_31xzmj3qnVsrQd0RTj6A3_AtlZLr0mjcKHG57sVQdJxwUnmWxIcmE4nXTBNE9AwxvAa4YRbsNrw300Fb27fQQdpzY3,2,ChIJoaZWFjlb4joRebf9cMns-ik
"Craft Lanka Production and Training Center of Handloom Textile,","XWQM+JG4, Kadawatha, Sri Lanka","store, point_of_interest, establishment",shop,no photo,6,ChIJYxdzIwn44joRO0bAVJPpuds
Ceylon Stores,"254 Sigera Rd, Sri Jayawardenepura Kotte 10100, Sri Lanka","clothing_store, jewelry_store, home_goods_store, store, food, point_of_interest, establishment",shop,AUacShgBLYJCbgFqMPwhIet4Hp5f5BztZttyRkhwhgZWHGGliJZvCLn_frmMK_cK9rQgB4IoGe2yA3jD2xVuQpZaitbB3K2HBzA4awkqQ4ENOhdjL7RWHPxEW6Ea_Vu80CEF29m61R2GBCv5TM81gRdSeBQWhe2Gk1ya3CgM2JBWuqYPqUJT,0,ChIJNwPjZkBR4joRkZhhamleJFQ
"Vinoma Handlooms, Batik And Salon","73 Havelock Rd, Colombo 06000, Sri Lanka","clothing_store, beauty_salon, store, point_of_interest, establishment",shop,AUacShhdxwkZJz56rgJb-roqxAGfo2oe0JSHNHNRzc00d2ifqk54BE2T1fjOhCEA-xgZ7-1gv0C71qVFSq5Ax-Y9dd9hIRhQK0rb6QG28redVSBvWo67QJ1OioUjR85RbrSGtZsHPh9exfW8KFCPfRX9lg5QSvpfce2AOI5PXGsRGGeDpHJw,2,ChIJjVSrg9Bb4joRN2yr0mcmSJY
Ko Lanka,"702 Galle Rd, Colombo 00300, Sri Lanka","store, point_of_interest, establishment",shop,AUacShiFmb63qUQTVQjK9Lzacm5q4tS9v8KT3jyTc5LdSF5pAQuwkcsQM-Qr_ur9PshIfVNLIfxLVyQv2MgnuWGTiCt6qJNM4A4hAqzOHKWAWKzJY7DZIRzL3vz3GuhNBlWZV8z0QKTRJJ5hxOcGCl5H1PjUcbpgLVx2DUpXBLWEkDbjOVw,115,ChIJcxvTia9b4joRtYov_36HI0s
Mother Sri Lanka Showroom,"614 Sri Jayawardenepura Mawatha, Sri Jayawardenepura Kotte, Sri Lanka","store, point_of_interest, establishment",shop,AUacShjuspC0Sc8ygBUUnM1gjkXEwE_L2j8sVPaYjGLY_RGnUpiMKiACO-56_EKDCfRVkAPOte9NfxHwIZCu5EhX3iWVYW1Wj44P33m9vGWvCUHbAYjnUbJz-KQsLEt9weO0dzMRFxRT_xQFPMR-tgyW2h-wQtnf33R2qAYwrYMBwrUWh9R4,24,ChIJ0QMmvGRZ4joRcSBgbQJxzFA
The Colombo Mall,"1307/B Samagi Mawatha, Road, Battaramulla 10120, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShg2sjkMA_-GtjQmYp9xOyaBI-kZqwe_zxyAWNquLNcdg1B6Z7VzJR_c_1KZlU5nPRliqwhnLywHY2k6e2TXao5voIQRWqUZcEw9Dl_LUj54DdC2g7mWorwlz4QjuhfJ2DdeZg790xreX21VdOjo01J-9og0Vyp_1RRIq48w6Djd8U2j,6,ChIJ_fUSvQ5b4joR0ByxCenBaes
Craft Lanka Biyagama,"New Kandy Rd, Sri Lanka","store, point_of_interest, establishment",shop,AUacShj1KO0gvWgaOwZptAYERERKq78FeCk5puMPutPsCyF7ihzBxmNlCRkL2j6NoQ7Er7wXZjGDPd9OKpvej3IxodATICkcO23BRECUD_gf5wB4O23JYxPSoIofyjmHLp0rqDZnEjlUmte494ZQyC7iv1pyUf61T0n9q_UZBTbbenNWExvp,3,ChIJXcxQk4pW4joRybBqdjWD14g
