name,address,type,leisure_ype,photo_reference,rating,place_id,lat,lng
Rajanganaya viewpoint,"46RF+27Q, Serasumgala, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShjCBcFmCaZ2VlTWus3sR2i0LTAHIWHsvgO9Up65LzJL5gmJn6fyLYU6pYN4cXtyMR9lDyJMNwsr1K3Vb2pXWel9bRQzfj6SPeUWt9brW74lRiYBvej0nZCM4KyGD4RfAjhbeZqF1jTukghARlWPEGn4nkessaq_-pw31qQ0RFm6VW6i,5,ChIJ9VtfUMPl_DoRVVqY9tq3wFM,,
"Queens Junction, Thabuththegama","5862+G27, Tambuttegama, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShg3l188dVredUg4hU7mH8HtWNPFXjlzdfGx2B7xviCRmTdhS72u15LOWo61rEc_ZtLAGQDSLzueRzxvqkegEiv2z08ZlXcZuiZa7PMUms2AEtYTRBx5drSxwx0418RqH0zT7nR7YNXKnM2ZGmlZr2SzjKWCAny5sguVpcRGAgB7Hsay,6,ChIJ_Yz5miPv_DoR-U9O5EzSAOA,,
Palugaswewa Lake,"8G82+GH, Mihintale, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShjrJPGAZ-HWW3_bOqVHg-W7oRKDntTwPj16pHKgUlF2q3gOaN3iLPXGkXZnE45653eObenMSfcdjdTMAQG96FN7qHXay-mgbawerHP_O1GsRU-pI3f49oOPi0ULi_PZxLKRuBzL-zg1i2UZLqWSwXCOZvwd2OXhaNCQcx_tzHkbmA6f,0,ChIJLWpWX92L_DoR7eWeHn1DS9E,,
Kurunegala Junction,"89QW+M4V, Anuradhapura, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,no photo,0,ChIJVVVlkrv1_DoRs9lIozmO5d8,,
Anuradhapura Newtown,"8CF3+C66, Anuradhapura, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShhYKiDpbooW8l4ePltQmCzNGUm2l8wafJc06Xlx1lJpdc4GZcct24pGOrN4t7gBU2YmJwKmJDikLEE5B62FH281BEWgxKBSsuUbrVk9UBvTErt9LcrnEjJ_Hv7W6jScsLl8PBJW2KsHbTsLr1kWUHQDtme5yMYpPtXA0hbcIf5mae5L,0,ChIJu0AkyYn1_DoRtGx6xRDPU6g,,
Sinnikkulama Wewa,"79CF+8F4, Sinnikkulama, Srawasthipura, Anuradhapura, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShghHk519HASEWlzXxLj1SUe2IessHRfOQaEhKQJ_pamt8-J9fzzz0fsyyPrblgtBFjlHoKetmOCjJYha7d5xfwqs-7pQl3yZUuMsv8xLiP6RO7oASYWT6ILmXkHtRjkQg-MP_yonhLy3TlG91halAC7iZydRuNUtxZZebuEqe-XIANg,6,ChIJPc14Gfvz_DoRv2JrCjmIebs,,
Gnanikkulama Bridges,"6GWC+GC, Nachchaduwa, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShih-vEupysYy-oWHfLXWTyJMxpwpU_7ugesSIrc_lfAs9hW0y3NyqPtd-n2wlVhxScWWLH_ZTtYx3Eqv3I1rekloWUW9YD1OcvwgmsQY4YnVmwudgeh51-qMsrHJanTfUuQ25oQ3FrT2Fjm4SG88BZy7BT1swhNj9XZS4maFBQBX3e3,1,ChIJjwiT502N_DoR6LGV3T3Qjf0,,
Anuradapure guest house,"8CQ3+67, Anuradhapura, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,no photo,0,ChIJvx27Lan1_DoR6cNBMAtPqh4,,
Perimiyankulama New bridge,"9CX4+99R, B509, Anuradhapura, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShhczTHqEIjIyYQw5GtMJMXXAoxcVAADgkPHaBEZTOVXm73Dv8J-ieAV-LzjWB_tV5uR_KXS4Hg0rYOFbwyohrJhb3kar_XEjaIm7gwGUDEW0VbFj4rejBkjNyxGpYYYp_vp2cbUenwyXfHe5Ei9GSfxqcDYHRqwzmqhAmk72IjuMCk,0,ChIJE7kWTNBf_DoR6m587dn7C_o,,
idigaha wawa,"5FQM+6J, Tirappane, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,no photo,0,ChIJ0246GDuT_DoR8MdYZWz48yE,,
Basawakkulama(බසවක්කුලම),"992R+G7R, Thuparama Mawatha, Anuradhapura, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShg3EqfzcPFFP7hz7HR5GfKHJpr-81Xs-kjwUD4T5J9ZPL4gddOAPGIJCveAEtbtiwQN3WpJRFsqScwqtP4ixoFKHcGp_hlZ9wHgFMDWmNwbGKWgqOkkpLCljTbaBXBCLyqCzNVw_838BDz77Ej4AaJPxS4If298Z8rwAI63CAt32UDZ,21,ChIJGYjEFkD1_DoRCi4pz39So94,,
පූජා නගරය view point,"89HM+M3, Anuradhapura, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShiXiXTJHXtZ42-lpHM9k9bIhbfdfTljdAgBcpE344dt8dlIVkwkhK4wR1IvZgchUESOQbata7f1VOuXG81j4s4D05E5_5F3NY9QMVa0Sf0ApvJok6WuKE-yUIpfKVws57OVa3wIIQmgz3qugXz8T4fkRGePhFO2hI1n5cYcLOQUhXgP,10,ChIJu8Nhnwf1_DoRxg2ubbQ6NxM,,
Nuwara wewa anuradhapuram,"8CR7+WQJ, Nuwarawewa Rd, Anuradhapura, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShjS4F5Y9QgzbXuGjwZKIzA0UZ9dYtn6kM8OgbfrmechHWANxIzXQ6ZK6OVcmyjB6KHDPQzKn_41Bqc0QFnK6xZaDq2HT3OcUfgV_r_y51I-PrZNm_aI6oFhws2UXHLkwOfVhOsTBKdhfWAQ8A_TWuyHoAOMGhNZYhwP3DTqocZN3BFN,1,ChIJjydrkOz1_DoRcCX0Ev9_0jI,,
Wickey pond of yodha ela,"4FQ5+G7C, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,no photo,0,ChIJ9VWtNLCT_DoRDJsg1QKWPmU,,
Nochchikulama Wewa,"8H47+Q3V, WAWE, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShhMG-MCwxBvWNzUW_wgNBbF-dDCW-7kJRbuCZP5onwtW0qGJQUOIHdzVokrCpirIs7Uqp6G7uiJ712R-mZzuqfGYdMjEOFfxYY0c2vjUNGgaPryhB8gKO6lnXJMmu5bVzosmhQvkJTb7ZF2ops5QrGI6vPejWBCsSDc3NnRngZNZUl9,0,ChIJaVnyAHWJ_DoRUOUcjfsbPbw,,
Athugala Farm,"C9FM+Q8F, Galkadawala, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShjjd9riB2TyOvSW0iOawUKu1bfRlYDDFpz4s_jxjerzcgq0hU67WTme5EFMyOf-gOYNN94zR26uPk4lCDRCVY2dim4aAOiKOYoIvQ261yIAIetAH82wy8sQagwqt1fMCIMTFwWQihx5oxCwmjaamXg850icqXnfVb9_LhiZ2NFqqNR6,2,ChIJOdPK--Vf_DoRS6xthgdjjc4,,
Hirigollegama Wewa,"67HW+3XX, Hirigollegama, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShhz43UgKTAzBLbZMWjmQj-tlYhHWjrgJNKIqPmlcYogRHpQG19QbAQevOZR5qUaLMnRsOyHI_rq6IU4WVPpdKq6KHB-9nK5dkBHXvf5MtWmq5yKQwTHA719CtGWLZU3RREHj8Y6SuzxTatUKPOQQMibdCI29X2ve8-D_sqhhr_SUQ3d,1,ChIJLXlTtnXx_DoRHBWgUyVd_D4,,
